frame;value
1;0.0
2;0.0
3;0.0
4;4.472135955
5;0.0
6;4.12310562562
7;0.0
8;4.12310562562
9;2.2360679775
10;6.0
11;4.472135955
12;4.0
13;5.09901951359
14;4.0
15;5.0
16;7.07106781187
17;5.0
18;5.0
19;9.05538513814
20;5.0
21;5.0
22;8.0622577483
23;4.0
24;5.09901951359
25;6.0827625303
26;5.09901951359
27;4.0
28;7.0
29;4.0
30;3.0
31;5.0
32;4.0
33;3.16227766017
34;6.0
35;2.0
36;4.12310562562
37;5.0
38;2.0
39;3.16227766017
40;5.0
41;2.0
42;3.16227766017
43;5.0
44;1.0
45;2.2360679775
46;5.0
47;2.0
48;2.2360679775
49;4.0
50;2.2360679775
51;2.0
52;4.12310562562
53;2.0
54;2.2360679775
55;4.0
56;1.0
57;2.2360679775
58;4.12310562562
59;2.0
60;1.41421356237
61;4.0
62;2.2360679775
63;1.41421356237
64;3.0
65;2.0
66;2.2360679775
67;3.0
68;2.0
69;1.41421356237
70;2.0
71;2.2360679775
72;1.41421356237
73;3.0
74;1.0
75;1.41421356237
76;3.0
77;3.0
78;1.0
79;3.16227766017
80;1.41421356237
81;2.2360679775
82;1.41421356237
83;2.0
84;3.0
85;1.0
86;1.0
87;5.09901951359
88;14.0356688476
89;1.41421356237
90;22.0227155455
91;12.0
92;1.0
93;5.0
94;1.0
95;4.12310562562
96;4.0
97;2.2360679775
98;1.0
99;6.32455532034
100;2.2360679775
101;4.0
102;2.0
103;3.0
104;3.16227766017
105;5.0
106;10.4403065089
107;5.09901951359
108;20.0997512422
109;4.12310562562
110;37.3630833845
111;19.7230829233
112;5.83095189485
113;2.0
114;13.416407865
115;2.0
116;4.0
117;5.0
118;12.1655250606
119;1.41421356237
120;2.2360679775
121;2.82842712475
122;10.4403065089
123;0.0
124;2.0
125;2.2360679775
126;2.2360679775
127;2.2360679775
128;1.0
129;2.2360679775
130;3.0
131;2.0
132;2.2360679775
133;3.0
134;0.0
135;3.16227766017
136;0.0
137;6.0827625303
138;1.0
139;5.83095189485
140;0.0
141;10.0
142;1.0
143;10.0
144;0.0
145;8.0
146;1.0
147;8.0622577483
148;0.0
149;10.0
150;0.0
151;8.0622577483
152;0.0
153;8.0622577483
154;0.0
155;7.0
156;0.0
157;6.0827625303
158;0.0
159;6.0827625303
160;1.0
161;6.0827625303
162;1.0
163;5.09901951359
164;0.0
165;5.09901951359
166;0.0
167;6.0827625303
168;0.0
169;5.09901951359
170;0.0
171;4.12310562562
172;0.0
173;4.12310562562
174;1.0
175;4.12310562562
176;0.0
177;4.12310562562
178;0.0
179;4.12310562562
180;0.0
181;4.12310562562
182;0.0
183;4.472135955
184;0.0
185;4.12310562562
186;1.0
187;4.12310562562
188;0.0
189;4.12310562562
190;0.0
191;9.48683298051
192;0.0
193;12.8062484749
194;0.0
195;16.1245154966
196;0.0
197;16.5529453572
198;0.0
199;12.0830459736
200;0.0
201;12.0830459736
202;0.0
