frame;red;green;blue
0;99.341719379;94.8503450259;82.0153824037
1;99.341719379;94.8503450259;82.0153824037
2;99.9150373778;95.4012363427;81.0619608971
3;99.9107245543;95.3928982174;81.0570730305
4;97.0598679384;92.869699193;78.3492296405
5;97.0598679384;92.869699193;78.3492296405
6;98.6517206911;94.6825646152;80.9565900328
7;87.0199914322;81.6909895759;66.806797087
8;89.4831111111;83.5174814815;69.1968888889
9;84.3883863437;78.6682229355;67.2386927342
10;82.0558398555;76.6319987959;62.7512040939
11;87.4370100784;80.0604703247;65.3812989922
12;83.6348583878;74.8335511983;63.3530864198
13;83.2783018868;74.6753859348;62.5084333905
14;87.6315924878;80.1721121688;66.5757653718
15;85.3606349206;77.6946031746;64.9414603175
16;83.9661583735;75.921482076;62.5579186731
17;88.237654321;80.905308642;66.2988888889
18;86.0426767677;78.475;64.3553030303
19;84.6895398609;76.6780363831;62.598047084
20;88.4751381215;81.5636586863;67.1581338244
21;86.6583488516;78.9474860335;65.2216014898
22;85.7579409918;78.1288135593;64.7270558694
23;88.7158993247;82.2066298343;67.5324739104
24;86.9108695652;79.6200483092;66.5971014493
25;85.5144818976;78.5254681648;64.3671660424
26;89.0992753623;82.8074879227;68.6282608696
27;87.2479541735;81.0135609072;67.6238017302
28;85.6656565657;78.7029040404;64.9328282828
29;88.5844565877;82.0819672131;68.7465695203
30;86.3388888889;79.8941975309;66.425308642
31;84.4528667355;78.525697314;64.2369576446
32;87.9435692149;81.6948605372;66.8232179752
33;86.1376404494;79.5227272727;66.2729826353
34;85.2350649351;78.6797402597;65.4293506494
35;88.1260214505;82.0458375894;68.6252553626
36;86.771058038;79.5418592707;67.6533127889
37;84.9399335548;77.5841860465;65.0841196013
38;88.2958509514;81.171115222;67.4454281184
39;87.221968254;79.9638095238;67.3074285714
40;85.8539148713;78.4771413558;65.0924855491
41;87.7811295681;80.7860465116;67.2175415282
42;86.7342857143;79.7477922078;66.8854545455
43;84.9037505041;77.6965990052;64.5007393467
44;88.1000664452;81.285448505;67.3125581395
45;87.9058385093;80.7828571429;67.6698136646
46;85.4025148729;77.8485667929;64.7581124932
47;87.732828556;80.8315305571;66.4683612764
48;87.5054916986;80.327458493;67.7954022989
49;85.1937984496;77.5552835577;65.0043519652
50;88.2223417126;80.7947304745;67.586637989
51;86.8264582239;79.8328954283;67.9930373095
