frame;x;y
0;961;647
1;961;647
2;961;647
3;961;647
4;957;649
5;957;649
6;953;650
7;953;650
8;949;651
9;947;652
10;941;652
11;937;654
12;933;654
13;928;653
14;924;653
15;919;653
16;912;652
17;907;652
18;902;652
19;893;651
20;888;651
21;883;651
22;875;650
23;871;650
24;866;651
25;860;650
26;855;651
27;851;651
28;844;651
29;840;651
30;837;651
31;832;651
32;828;651
33;825;652
34;819;652
35;817;652
36;813;653
37;808;653
38;806;653
39;803;654
40;798;654
41;796;654
42;793;655
43;788;655
44;787;655
45;785;656
46;780;656
47;778;656
48;776;657
49;772;657
50;770;658
51;768;658
52;764;659
53;762;659
54;760;660
55;756;660
56;755;660
57;753;661
58;749;662
59;747;662
60;746;663
61;742;663
62;740;664
63;739;665
64;736;665
65;734;665
66;733;667
67;730;667
68;728;667
69;727;668
70;725;668
71;723;669
72;722;670
73;719;670
74;719;671
75;718;672
76;715;672
77;712;672
78;713;672
79;710;671
80;711;670
81;709;671
82;708;670
83;706;670
84;703;670
85;702;670
86;702;669
87;697;670
88;711;669
89;710;668
90;688;667
91;700;667
92;701;667
93;696;667
94;695;667
95;691;666
96;687;666
97;685;667
98;685;668
99;679;666
100;680;668
101;676;668
102;674;668
103;671;668
104;674;669
105;669;669
106;679;672
107;674;673
108;654;671
109;650;672
110;614;662
111;631;652
112;636;649
113;636;647
114;648;653
115;648;651
116;652;651
117;647;651
118;659;653
119;660;654
120;662;653
121;664;651
122;654;648
123;654;648
124;656;648
125;658;647
126;660;648
127;662;647
128;663;647
129;665;648
130;668;648
131;670;648
132;672;649
133;675;649
134;675;649
135;678;650
136;678;650
137;684;651
138;685;651
139;690;654
140;690;654
141;700;654
142;701;654
143;711;654
144;711;654
145;719;654
146;720;654
147;728;655
148;728;655
149;738;655
150;738;655
151;746;656
152;746;656
153;754;657
154;754;657
155;761;657
156;761;657
157;767;658
158;767;658
159;773;659
160;774;659
161;780;660
162;781;660
163;786;661
164;786;661
165;791;662
166;791;662
167;797;663
168;797;663
169;802;664
170;802;664
171;806;665
172;806;665
173;810;666
174;811;666
175;815;667
176;815;667
177;819;668
178;819;668
179;823;669
180;823;669
181;827;670
182;827;670
183;831;672
184;831;672
185;835;673
186;834;673
187;838;674
188;838;674
189;842;675
190;842;675
191;851;672
192;851;672
193;861;664
194;861;664
195;875;656
196;875;656
197;890;649
198;890;649
199;901;644
200;901;644
201;912;639
202;912;639
203;922;635
204;922;635
205;930;632
206;930;632
207;938;629
208;937;629
209;945;626
210;945;626
211;951;624
212;951;624
213;956;622
214;956;621
215;962;620
216;962;620
217;966;618
218;966;618
219;971;617
220;971;617
221;976;615
222;976;615
223;982;611
224;982;611
225;990;602
226;990;602
227;998;598
228;998;598
229;997;597
230;997;597
231;994;596
232;994;596
233;990;596
234;990;596
235;988;597
236;988;597
237;985;597
238;985;597
239;982;598
240;982;598
241;980;599
242;980;599
243;978;600
244;978;600
245;975;601
246;975;601
247;973;602
248;973;602
249;971;603
250;971;603
251;969;605
252;969;605
253;968;606
254;968;606
255;966;608
256;966;608
257;965;609
258;965;610
259;964;611
260;964;611
261;962;613
262;962;613
263;962;615
264;962;615
265;959;618
266;960;618
267;954;619
268;954;619
269;948;619
270;948;619
271;941;619
272;940;619
273;928;618
274;928;618
275;916;619
276;916;619
277;903;619
278;903;619
279;891;620
280;891;620
281;879;620
282;879;620
283;868;621
284;868;621
285;858;623
286;858;623
287;848;624
288;848;624
289;838;625
290;838;625
291;829;627
292;829;627
293;821;628
294;821;628
295;813;630
296;814;630
297;806;631
298;806;631
299;798;633
300;798;633
301;792;635
302;792;635
303;786;637
304;785;637
305;775;639
306;775;639
307;761;640
308;761;640
309;741;639
310;741;639
311;722;639
312;723;639
313;708;637
314;708;637
315;698;636
316;697;636
317;695;635
318;695;635
319;686;635
320;686;635
321;678;636
322;677;636
323;670;637
324;668;637
325;662;638
326;661;638
327;670;644
328;671;644
329;614;643
330;614;643
331;607;639
332;607;639
333;656;643
334;656;643
335;663;642
336;663;642
337;674;642
338;673;642
339;686;642
340;685;642
341;696;642
342;696;642
343;703;642
344;702;642
345;712;643
346;712;643
347;721;644
348;721;644
349;729;645
350;729;645
351;738;646
352;738;646
353;746;647
354;746;647
355;754;648
356;754;648
357;762;650
358;762;650
359;769;651
360;769;651
361;776;652
362;776;652
363;783;653
364;783;653
365;793;654
366;793;654
367;806;654
368;806;654
369;821;654
370;822;655
371;837;655
372;837;655
373;851;656
374;851;656
375;864;657
376;864;657
377;876;657
378;876;657
379;887;658
380;887;658
381;897;659
382;897;659
383;907;660
384;907;660
385;916;661
386;916;661
387;924;662
388;924;662
389;932;663
390;932;663
391;939;665
392;939;665
393;946;666
394;946;666
395;952;667
396;952;667
397;959;668
398;959;668
399;965;670
400;965;670
401;971;671
402;970;671
403;976;672
404;976;672
405;982;674
406;982;674
407;987;675
408;987;675
409;993;677
410;993;677
411;997;678
412;997;678
413;1002;680
414;1002;680
415;1006;682
416;1006;682
417;1011;683
418;1011;683
419;1015;685
420;1016;685
421;1020;687
422;1019;687
423;1023;688
424;1023;688
425;1027;690
426;1027;690
427;1031;692
428;1031;692
429;1035;694
430;1035;694
431;1038;695
432;1038;695
433;1050;695
434;1050;695
435;1070;694
436;1070;694
437;1089;693
438;1089;693
439;1105;692
440;1105;692
441;1120;692
442;1120;692
443;1133;691
444;1133;691
445;1144;691
446;1144;691
447;1155;690
448;1155;690
449;1164;690
450;1165;690
451;1174;690
452;1174;690
453;1181;689
454;1181;689
455;1191;685
456;1191;685
457;1203;684
458;1203;684
459;1202;687
460;1202;687
461;1197;687
462;1197;688
463;1193;688
464;1192;688
465;1187;689
466;1187;689
467;1183;690
468;1183;690
469;1179;691
470;1179;691
471;1174;692
472;1174;692
473;1171;693
474;1170;692
475;1166;694
476;1166;694
477;1162;695
478;1162;695
479;1160;696
480;1159;696
481;1156;697
482;1156;697
483;1153;698
484;1153;698
485;1149;700
486;1149;700
487;1135;701
488;1134;701
489;1127;698
490;1127;698
491;1111;693
492;1111;693
493;1090;689
494;1090;689
495;1071;685
496;1072;685
497;1053;683
498;1053;683
499;1038;681
500;1038;681
501;1024;680
502;1024;680
503;1011;678
504;1012;678
505;1000;677
506;1000;677
507;989;676
508;989;676
509;978;676
510;978;676
511;969;675
512;969;675
513;959;675
514;959;674
515;950;674
516;949;674
517;940;674
518;940;674
519;932;674
520;932;674
521;925;674
522;925;674
523;917;675
524;917;675
525;909;675
526;909;675
527;902;676
528;902;676
529;895;676
530;895;677
531;888;677
532;888;677
533;881;678
534;881;678
535;876;679
536;876;679
537;869;680
538;869;680
539;863;681
540;863;681
541;857;682
542;857;682
543;851;683
544;851;683
545;846;684
546;846;684
547;841;685
548;841;685
549;836;686
550;836;686
551;831;688
552;832;688
553;828;689
554;828;689
555;823;690
556;823;690
557;819;691
558;819;691
559;809;691
560;808;691
561;799;688
562;800;688
563;791;684
564;791;684
565;783;682
566;783;682
567;777;679
568;777;679
569;772;677
570;772;677
571;767;676
572;767;676
573;763;674
574;763;674
575;759;673
576;759;673
577;756;672
578;756;672
579;753;672
580;753;672
581;750;671
582;750;671
583;747;671
584;747;671
585;745;670
586;745;670
587;743;670
588;743;670
589;746;671
590;746;671
591;737;664
592;738;664
593;739;658
594;739;658
595;742;655
596;742;655
597;745;653
598;746;652
599;749;650
600;749;650
601;752;648
602;752;648
603;755;646
604;756;646
605;758;645
606;759;645
607;762;644
608;762;644
609;765;644
610;765;644
611;769;643
612;769;643
613;772;643
614;772;642
615;774;642
616;774;642
617;777;642
618;777;642
619;780;642
620;780;642
621;782;642
622;782;642
623;784;642
624;784;642
625;786;642
626;786;642
627;789;643
628;789;643
629;796;642
630;796;642
631;804;639
632;804;639
633;810;637
634;810;637
635;819;635
636;819;635
637;832;633
638;832;633
639;844;633
640;844;633
641;853;632
642;853;632
643;863;632
644;863;633
645;871;633
646;871;633
647;879;633
648;879;633
649;887;634
650;887;634
651;894;635
652;894;635
653;901;636
654;901;636
655;907;636
656;907;636
657;913;637
658;913;637
659;918;638
660;918;638
661;924;639
662;924;639
663;929;640
664;929;640
665;934;641
666;934;641
667;938;643
668;938;643
669;944;644
670;944;644
671;947;645
672;948;645
673;952;647
674;952;647
675;956;648
676;956;648
677;960;649
678;960;649
679;964;651
680;964;651
681;968;653
682;968;653
683;971;654
684;971;654
685;974;654
686;974;654
687;980;654
688;980;654
689;986;654
690;986;654
691;992;654
692;992;654
693;996;655
694;997;655
695;1000;655
696;1000;655
697;1004;656
698;1004;656
699;1006;657
700;1006;657
701;1008;658
702;1008;658
703;1010;658
704;1010;659
705;1011;660
706;1011;660
707;1012;660
708;1012;660
709;1013;662
710;1013;662
711;1014;663
712;1014;663
713;1011;664
714;1012;664
715;1008;665
716;1008;665
717;1003;665
718;1003;665
719;1000;665
720;1000;665
721;997;664
722;997;664
723;993;664
724;993;664
725;988;664
726;988;664
727;984;664
728;984;664
729;980;664
730;980;664
731;975;665
732;975;665
733;971;666
734;971;666
735;967;666
736;967;666
737;964;667
738;964;667
739;959;668
740;959;668
741;955;669
742;955;669
743;952;670
744;952;670
745;950;672
746;950;672
747;947;673
748;946;672
749;943;674
750;943;674
751;941;675
752;941;675
753;938;677
754;938;677
755;936;678
756;935;678
757;929;680
758;929;680
759;922;681
760;922;681
761;915;680
762;915;680
763;908;679
764;908;679
765;900;678
766;900;678
767;890;677
768;890;677
769;881;677
770;881;677
771;873;677
772;873;677
773;865;677
774;865;676
775;857;677
776;857;677
777;851;677
778;850;677
779;844;677
780;844;677
781;838;678
782;838;678
783;831;678
784;831;678
785;827;678
786;826;678
787;822;679
788;822;679
789;816;680
790;816;680
791;812;680
792;812;680
793;808;681
794;807;681
795;804;682
796;804;682
797;799;683
798;799;683
799;795;684
800;795;684
801;791;684
802;791;684
803;787;685
804;787;685
805;784;686
806;784;686
807;781;685
808;781;686
809;778;685
