frame;red;green;blue
0;109.563113604;107.588359046;95.8534361851
1;109.563113604;107.588047374;95.8537478573
2;109.714742091;107.810425432;94.5852423251
3;109.691678354;107.812607137;94.6148511766
4;107.620910649;106.518369476;93.1347343319
5;107.620910649;106.518369476;93.1347343319
6;109.884886562;108.832321117;96.7144851658
7;96.2571727749;94.9514136126;80.5744502618
8;99.821125731;97.2307748538;83.0019736842
9;95.4750232496;93.8560515478;82.7736814136
10;92.3352074755;90.75;76.4277003484
11;101.338206174;99.0544554455;86.5709959231
12;99.1004075788;96.0376184182;86.1703569068
13;97.8446159045;94.8240031539;83.8684951566
14;101.239674593;98.5187734668;87.8899666249
15;99.196557971;96.5375402576;86.4965780998
16;96.8180776721;93.6366708672;81.8959789208
17;99.200495763;96.1735746815;84.1091831441
18;97.2063372093;94.225755814;81.674244186
19;95.4124809741;92.0799086758;78.6416793506
20;97.8946892363;94.6377438946;81.3950768833
21;96.1598624002;92.4950347245;79.4849094567
22;94.8805745554;90.9675786594;77.531874145
23;97.3959745188;94.3261724044;80.2296692871
24;95.5408191314;91.6287795492;78.8807036833
25;93.904803178;90.3055254605;76.1022029614
26;99.0914320685;96.4430844553;83.6913096695
27;96.562930092;93.6107788282;81.2283748151
28;94.5641795312;90.9343910806;77.2731560892
29;97.1854810455;93.7900637657;80.6389881578
30;95.6229110325;92.3234865821;79.2350738506
31;93.9890412896;91.3732324661;77.4963942308
32;97.7653685006;94.8664056597;80.777594615
33;96.1535819768;92.9213544886;79.8624218696
34;94.7268806561;91.4986566742;78.2872596154
35;97.1341855317;94.013568521;80.4262658002
36;96.2485080989;92.3496732026;80.1558681444
37;94.8002739924;90.9402985075;77.8181555988
38;97.6954358642;93.8438964597;80.1668469248
39;96.4840091376;92.4203312393;79.966162193
40;94.5207578502;90.3300875604;76.2740791063
41;96.8523225567;93.0422891119;79.1453734671
42;95.9264652348;92.1376046596;78.9437204223
43;94.1083644511;90.2998506348;76.5513069455
44;97.5862984218;94.2732424677;80.080989957
45;96.5860832138;92.6107604017;79.6698708752
46;94.9149297857;90.766518847;77.003030303
47;97.3167910994;93.7541355585;79.1756697409
48;96.708405421;92.7066753172;79.9010236448
49;94.9939411852;90.8653760898;77.5763262893
50;97.7359301056;93.7525300328;80.3867491809
