frame;x;y
0;977;649
1;977;649
2;977;649
3;977;649
4;974;651
5;975;651
6;976;652
7;976;652
8;967;653
9;968;654
10;953;654
11;959;654
12;952;656
13;942;656
14;941;656
15;939;656
16;931;655
17;930;654
18;926;654
19;917;654
20;913;653
21;906;653
22;898;653
23;894;652
24;889;652
25;883;652
26;879;652
27;873;652
28;866;652
29;863;653
30;858;653
31;852;653
32;850;653
33;846;654
34;837;655
35;839;654
36;834;655
37;826;656
38;827;656
39;824;656
40;819;657
41;816;657
42;813;657
43;807;658
44;807;658
45;804;659
46;799;659
47;797;660
48;797;660
49;790;660
50;787;661
51;788;661
52;783;661
53;781;662
54;780;663
55;773;663
56;773;664
57;772;665
58;765;666
59;765;665
60;765;666
61;761;667
62;759;667
63;758;669
64;753;670
65;751;670
66;750;671
67;746;672
68;745;672
69;745;673
70;740;674
71;739;674
72;740;675
73;735;677
74;732;677
75;735;678
76;729;679
77;726;679
78;729;679
79;722;681
80;722;680
81;726;680
82;721;680
83;720;680
84;723;680
85;715;680
86;708;680
87;713;680
88;704;678
89;699;676
90;705;679
91;700;679
92;690;677
93;692;679
94;687;678
95;680;677
96;682;678
97;675;676
98;666;673
99;673;677
100;666;675
101;655;671
102;665;676
103;656;674
104;637;668
105;657;676
106;635;670
107;630;668
108;629;670
109;620;667
110;614;663
111;612;660
112;612;658
113;615;657
114;617;657
115;619;656
116;621;656
117;621;657
118;624;657
119;628;655
120;629;655
121;632;655
122;633;655
123;635;655
124;638;655
125;642;654
126;642;656
127;646;655
128;649;655
129;649;656
130;653;656
131;654;656
132;656;657
133;658;657
134;659;657
135;662;658
136;662;658
137;670;658
138;671;658
139;680;657
140;680;657
141;688;656
142;687;657
143;697;657
144;697;657
145;709;657
146;709;657
147;719;657
148;719;657
149;727;658
150;728;658
151;736;658
152;736;658
153;743;659
154;744;659
155;751;660
156;751;660
157;757;660
158;758;660
159;764;661
160;764;661
161;769;662
162;770;662
163;775;663
164;775;663
165;779;663
166;779;663
167;785;665
168;786;665
169;790;666
170;791;666
171;795;667
172;795;667
173;800;669
174;801;668
175;803;670
176;804;670
177;809;671
178;808;671
179;810;673
180;810;673
181;816;674
182;816;674
183;820;675
184;820;675
185;824;676
186;824;676
187;827;677
188;823;678
189;827;679
190;827;679
191;840;676
192;840;676
193;849;670
194;850;671
195;859;664
196;859;664
197;870;658
198;870;658
199;882;652
200;882;652
201;898;645
202;895;647
203;908;641
204;908;641
205;912;639
206;912;639
207;918;636
208;918;636
209;922;633
210;922;633
211;928;631
212;928;631
213;934;629
214;934;629
215;940;627
216;939;627
217;944;626
218;944;626
219;948;624
220;948;624
221;952;623
222;953;623
223;956;619
224;956;619
225;972;613
226;972;613
227;982;605
228;982;604
229;987;601
230;987;600
231;993;599
232;993;600
233;993;598
234;994;599
235;991;599
236;991;599
237;990;599
238;990;599
239;988;599
240;988;599
241;987;598
242;987;598
243;985;599
244;985;599
245;984;600
246;984;600
247;982;601
248;982;601
249;980;602
250;980;602
251;977;603
252;977;603
253;975;605
254;975;605
255;974;606
256;973;606
257;972;608
258;972;608
259;971;610
260;971;610
261;970;612
262;970;612
263;969;614
264;969;614
265;965;616
266;964;616
267;956;618
268;956;618
269;952;620
270;952;620
271;949;620
272;949;620
273;944;620
274;944;621
275;937;620
276;937;621
277;927;620
278;927;620
279;913;620
280;913;620
281;901;621
282;901;621
283;890;621
284;890;621
285;880;622
286;880;622
287;870;623
288;870;623
289;859;625
290;859;625
291;850;626
292;850;626
293;841;627
294;841;628
295;834;629
296;834;629
297;826;630
298;826;631
299;818;632
300;818;632
301;811;634
302;811;634
303;804;636
304;804;636
305;798;638
306;797;638
307;786;641
308;784;641
309;773;640
310;772;640
311;748;641
312;749;641
313;732;642
314;731;641
315;716;643
316;716;644
317;698;644
318;701;643
319;687;645
320;687;645
321;676;647
322;675;647
323;650;645
324;648;645
325;637;646
326;637;646
327;627;646
328;627;646
329;615;644
330;615;644
331;607;640
332;607;640
333;616;640
334;616;640
335;630;639
336;630;639
337;646;639
338;646;639
339;662;640
340;662;641
341;676;642
342;676;642
343;689;643
344;688;643
345;700;644
346;700;645
347;710;646
348;710;646
349;720;647
350;720;647
351;729;648
352;729;648
